"SlNo","ProductDescription","AdmissionNo","LoanNo","Scheme","CropDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"Normal KCC","447","205","Normal","Sugar Cane Plant","2023-06-19","24000","12","2024-06-18","12","0.01","12.01","24000","0","91150301037001",
,"Normal KCC","448","206","Normal","Sugar Cane Plant","2023-06-19","50000","12","2024-06-18","12","0.01","12.01","50000","0","91150301037001",
,"Normal KCC","449","207","Normal","Sugar Cane Plant","2023-06-19","46000","12","2024-06-18","12","0.01","12.01","46000","0","91150301037001",
,"Normal KCC","450","208","Normal","Sugar Cane Plant","2023-06-19","24000","12","2024-06-18","12","0.01","12.01","24000","0","91150301037001",
,"Normal KCC","350","209","Normal","Sugar Cane Plant","2023-06-19","18000","12","2024-06-18","12","0.01","12.01","18000","0","91150301037001",
,"Normal KCC","382","210","Normal","Sugar Cane Plant","2023-06-19","85000","12","2024-06-18","12","0.01","12.01","85000","0","91150301037001",
,"Normal KCC","451","211","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","452","212","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","454","213","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","455","214","Normal","Sugar Cane Plant","2023-06-19","110000","12","2024-06-18","12","0.01","12.01","110000","0","91150301037001",
,"Normal KCC","456","215","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","457","216","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","459","218","Normal","Sugar Cane Plant","2023-06-19","50000","12","2024-06-18","12","0.01","12.01","50000","0","91150301037001",
,"Normal KCC","461","219","Normal","Sugar Cane Plant","2023-06-19","13000","12","2024-06-18","12","0.01","12.01","13000","0","91150301037001",
,"Normal KCC","462","220","Normal","Sugar Cane Plant","2023-06-19","13000","12","2024-06-18","12","0.01","12.01","13000","0","91150301037001",
,"Normal KCC","463","222","Normal","Sugar Cane Plant","2023-06-19","50000","12","2024-06-18","12","0.01","12.01","50000","0","91150301037001",
,"Normal KCC","340","224","Normal","Sugar Cane Plant","2023-06-19","120000","12","2024-06-18","12","0.01","12.01","120000","0","91150301037001",
,"Normal KCC","465","225","Normal","Sugar Cane Plant","2023-06-19","3500","12","2024-06-18","12","0.01","12.01","3500","0","91150301037001",
,"Normal KCC","468","226","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","466","227","Normal","Sugar Cane Plant","2023-06-19","150000","12","2024-06-18","12","0.01","12.01","150000","0","91150301037001",
,"Normal KCC","177","229","Normal","Sugar Cane Plant","2023-06-19","110000","12","2024-06-18","12","0.01","12.01","110000","0","91150301037001",
,"Normal KCC","167","232","Normal","Sugar Cane Plant","2023-06-19","48000","12","2024-06-18","12","0.01","12.01","48000","0","91150301037001",
,"Normal KCC","39","233","Normal","Sugar Cane Plant","2023-06-19","90000","12","2024-06-18","12","0.01","12.01","90000","0","91150301037001",
,"Normal KCC","228","234","Normal","Sugar Cane Plant","2023-06-19","113000","12","2024-06-18","12","0.01","12.01","113000","0","91150301037001",
,"Normal KCC","173","235","Normal","Sugar Cane Plant","2023-06-19","160000","12","2024-06-18","12","0.01","12.01","160000","0","91150301037001",
,"Normal KCC","428","237","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","432","238","Normal","Sugar Cane Plant","2023-06-19","60000","12","2024-06-18","12","0.01","12.01","60000","0","91150301037001",
,"Normal KCC","245","239","Normal","Sugar Cane Plant","2023-06-19","14000","12","2024-06-18","12","0.01","12.01","14000","0","91150301037001",
,"Normal KCC","434","240","Normal","Sugar Cane Plant","2023-06-19","14000","12","2024-06-18","12","0.01","12.01","14000","0","91150301037001",
,"Normal KCC","435","241","Normal","Sugar Cane Plant","2023-06-19","4300","12","2024-06-18","12","0.01","12.01","4300","0","91150301037001",
