AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
448,Normal KCC,206,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
449,Normal KCC,207,19-06-2023,,46000,0,0,0,0,0,0,46000,0,0,0,0,91150301037001,,Sugar Cane Plant
450,Normal KCC,208,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
350,Normal KCC,209,19-06-2023,,18000,0,0,0,0,0,0,18000,0,0,0,0,91150301037001,,Sugar Cane Plant
382,Normal KCC,210,19-06-2023,,85000,0,0,0,0,0,0,85000,0,0,0,0,91150301037001,,Sugar Cane Plant
451,Normal KCC,211,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
452,Normal KCC,212,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
454,Normal KCC,213,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
455,Normal KCC,214,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
456,Normal KCC,215,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
457,Normal KCC,216,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
459,Normal KCC,218,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
461,Normal KCC,219,19-06-2023,,13000,0,0,0,0,0,0,13000,0,0,0,0,91150301037001,,Sugar Cane Plant
462,Normal KCC,220,19-06-2023,,13000,0,0,0,0,0,0,13000,0,0,0,0,91150301037001,,Sugar Cane Plant
463,Normal KCC,222,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
340,Normal KCC,224,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
465,Normal KCC,225,19-06-2023,,3500,0,0,0,0,0,0,3500,0,0,0,0,91150301037001,,Sugar Cane Plant
468,Normal KCC,226,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
466,Normal KCC,227,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
177,Normal KCC,229,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
167,Normal KCC,232,19-06-2023,,48000,0,0,0,0,0,0,48000,0,0,0,0,91150301037001,,Sugar Cane Plant
39,Normal KCC,233,19-06-2023,,90000,0,0,0,0,0,0,90000,0,0,0,0,91150301037001,,Sugar Cane Plant
228,Normal KCC,234,19-06-2023,,113000,0,0,0,0,0,0,113000,0,0,0,0,91150301037001,,Sugar Cane Plant
173,Normal KCC,235,19-06-2023,,160000,0,0,0,0,0,0,160000,0,0,0,0,91150301037001,,Sugar Cane Plant
428,Normal KCC,237,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
432,Normal KCC,238,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
